club,logo
Altanta United FC,https://images.mlssoccer.com/image/upload/t_q-best/v1620997957/assets/logos/ATL-Logo-480px.png
Austin FC,https://upload.wikimedia.org/wikipedia/en/Austin_FC_logo.svg
CF Montreal,https://upload.wikimedia.org/wikipedia/en/CF_Montreal_logo_2023.svg
Charlotte FC,https://upload.wikimedia.org/wikipedia/en/Charlotte_FC_logo.svg
Chicago Fire FC,"https://upload.wikimedia.org/wikipedia/en/Chicago_Fire_logo,_2021.svg"
Colorado Rapids,https://upload.wikimedia.org/wikipedia/en/Colorado_Rapids_logo.svg
Columbus Crew,https://upload.wikimedia.org/wikipedia/en/Columbus_Crew_logo_2021.svg
D.C. United,https://upload.wikimedia.org/wikipedia/en/D.C._United_logo_(2016).svg
FC Cincinnati,https://upload.wikimedia.org/wikipedia/en/FC_Cincinnati_primary_logo_2018.svg
FC Dallas,https://upload.wikimedia.org/wikipedia/en/FC_Dallas_logo.svg
Houston Dynamo FC,https://upload.wikimedia.org/wikipedia/en/Houston_Dynamo_FC_logo.svg
Inter Miami CF,https://upload.wikimedia.org/wikipedia/en/Inter_Miami_CF_logo.svg
LA Galaxy,https://upload.wikimedia.org/wikipedia/en/Los_Angeles_Galaxy_logo.svg
Los Angeles FC,https://upload.wikimedia.org/wikipedia/en/Los_Angeles_Football_Club.svg
Minnesota United FC,https://upload.wikimedia.org/wikipedia/en/Minnesota_United_FC_(MLS)_Primary_logo.svg
Nashville SC,"https://upload.wikimedia.org/wikipedia/en/Nashville_SC_logo,_2020.svg"
New England Revolution,https://upload.wikimedia.org/wikipedia/en/New_England_Revolution_(2021)_logo.svg
New York City FC,https://upload.wikimedia.org/wikipedia/en/Logo_New_York_City_FC_2025.svg
New York Red Bulls,https://upload.wikimedia.org/wikipedia/en/New_York_Red_Bulls_logo.svg
Orlando City SC,https://upload.wikimedia.org/wikipedia/en/Orlando_City_2014.svg
Philadelphia Union,https://upload.wikimedia.org/wikipedia/en/Philadelphia_Union_2018_logo.svg
Portland Timbers,https://upload.wikimedia.org/wikipedia/en/Portland_Timbers_logo.svg
Real Salt Lake,https://upload.wikimedia.org/wikipedia/en/Real_Salt_Lake_2010.svg
San Diego FC,https://upload.wikimedia.org/wikipedia/en/San_Diego_FC_logo.svg
San Jose Earthquakes,https://upload.wikimedia.org/wikipedia/en/San_Jose_Earthquakes_2014.svg
Seattle Sounders FC,https://upload.wikimedia.org/wikipedia/en/Seattle_Sounders_logo.svg
Sporting Kansas City,https://upload.wikimedia.org/wikipedia/en/Sporting_Kansas_City_logo.svg
St. Louis SC,https://upload.wikimedia.org/wikipedia/en/St._Louis_City_SC_logo.svg
Totonto FC,https://upload.wikimedia.org/wikipedia/en/Toronto_FC_Logo.svg
Vancouver Whitecaps FC,https://upload.wikimedia.org/wikipedia/en/Vancouver_Whitecaps_FC_logo.svg
